doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cmcu-scholarship-policy,data\hoc-bong\cmcu-scholarship-policy.md,Chính sách học bổng - Đại học CMC,https://cmcu.edu.vn/chinh-sach-hoc-bong/,2026-09-19,not-stated,public-source
haui-financial-aid-scholarships,data\hoc-bong\haui-financial-aid-scholarships.md,Học bổng và hỗ trợ tài chính cho sinh viên - Đại học Công nghiệp Hà Nội,https://www.haui.edu.vn/vn/hoc-bong-hoc-phi/ho-tro-tai-chinh-va-hoc-bong-danh-cho-sinh-vien-haui/68191,2026-09-19,not-stated,public-source
huce-study-abroad-scholarships,data\hoc-bong\huce-study-abroad-scholarships.md,Học bổng du học - Đại học Xây dựng Hà Nội,https://tuyensinh.huce.edu.vn/hoc-bong-du-hoc,2026-09-19,not-stated,public-source
viasm-sigma-gold-scholarship,data\hoc-bong\viasm-sigma-gold-scholarship.md,Học bổng Sigma Gold năm học 2026-2027 cho sinh viên ngành Toán - VIASM,https://viasm.edu.vn/hoat-dong-khoa-hoc/tin-tuc/chi-tiet/hoc-bong-sigma-gold-nam-hoc-2026-2027-cho-sinh-vien-nganh-toan,2026-09-19,2026-2027,public-source
vnua-k71-freshman-scholarship,data\hoc-bong\vnua-k71-freshman-scholarship.md,Xét học bổng tân sinh viên K71 - Học viện Nông nghiệp Việt Nam,https://vnua.edu.vn/thong-bao/xet-hoc-bong-tan-sinh-vien-k71-58369,2026-09-19,K71,public-source
