url,audience,department,category,document_version
https://vinuni.edu.vn/hoc-phi-ho-tro-tai-chinh/,student,finance,tuition,2026.1
https://vinuni.edu.vn/hoc-bong-tai-tro-dao-tao-tu-tap-doan-vingroup/,student,academic,scholarship,2026.1
https://vinuni.edu.vn/cuoc-song-ky-tuc-xa/,student,student-affairs,housing,2026.1
https://vinuni.edu.vn/co-cau-to-chuc-dh-vinuni/,all,admin,about,2026.1
https://vinuni.edu.vn/chuong-trinh-cu-nhan-khoa-hoc-may-tinh/,student,cecs,curriculum,2026.1
https://vinuni.edu.vn/giang-vien-cecs/,faculty,cecs,directory,2026.1
